[2026-02-06 19:54:16,111] [INFO] >>> [메인] 누리장터 접속
[2026-02-06 19:54:33,486] [INFO]       - 업종제한사항: 업종명을 클릭시 관련 근거법령을 조회하실수 있습니다.[]안의 업종제한은 시스템상에 입력된 제한사항으로 공고서와 상이할 수도 있습니다. 입찰에 참여하시기 전에 반드시 공고서를 숙지하여 정확한 제한 업종을 확인하시기 바랍니다.아래는 제한된 업종에 대해 투찰가능한 허용업종 상황을 보여줍니다. 확인하시기 바랍니다.Grid startthis is a grid caption.No투찰가능한업종허용업종공고서 참조데이터가 없음Grid end
[2026-02-06 19:54:33,486] [INFO]       - No: 공고서 참조
[2026-02-06 19:54:33,486] [INFO]       - 투찰가능한업종: 
[2026-02-06 19:54:33,486] [INFO]       - 허용업종: 
[2026-02-06 19:54:33,486] [INFO]       - 현장설명회대상여부: 예
[2026-02-06 19:54:33,486] [INFO]       - 현장설명회일시: 2026/02/1317:00
[2026-02-06 19:54:33,486] [INFO]       - 현장설명회장소: 가능4구역 재개발정비사업조합 사무실
[2026-02-06 19:54:33,486] [INFO]       - 첨부파일: 11.범죄예방 및 이주관리(세입자조사) 업체 선정 별지서식 및 배점표.hwp (42.0 KB), 11.범죄예방 및 이주관리(세입자조사) 업체 선정 입찰공고.pdf (45.2 KB), 11.범죄예방 및 이주관리(세입자조사) 업체 선정 입찰지침서.pdf (98.1 KB)
[2026-02-06 19:54:33,499] [INFO]    [동작] '목록' 클릭
[2026-02-06 19:54:33,997] [INFO]    [확인] 목록 복구됨
[2026-02-06 19:54:33,997] [INFO] 
--- 항목 2 처리 ---
[2026-02-06 19:54:34,002] [INFO]    [대상] 환경 및 재해영향평가 업체 선정 입찰공고
[2026-02-06 19:54:37,345] [INFO]       [수집] 상세 정보 파싱 중...
[2026-02-06 19:54:37,576] [INFO]       [결과] 필드 46개, 파일 3개
[2026-02-06 19:54:37,576] [INFO]       - 입찰공고번호: R26BK01323459-000
[2026-02-06 19:54:37,576] [INFO]       - 문서번호: 제20260206-12호
[2026-02-06 19:54:37,576] [INFO]       - 긴급입찰여부: 아니오
[2026-02-06 19:54:37,576] [INFO]       - 공고종류: 실공고
[2026-02-06 19:54:37,576] [INFO]       - 공고처리구분: 등록공고
[2026-02-06 19:54:37,576] [INFO]       - 업무분류: 용역
[2026-02-06 19:54:37,576] [INFO]       - 입찰공고명: 환경 및 재해영향평가 업체 선정 입찰공고
[2026-02-06 19:54:37,576] [INFO]       - 입찰방식: 전자입찰
[2026-02-06 19:54:37,576] [INFO]       - 계약방법: 일반경쟁
[2026-02-06 19:54:37,576] [INFO]       - 낙찰방법: 적격심사제
[2026-02-06 19:54:37,576] [INFO]       - 재입찰여부: 예
[2026-02-06 19:54:37,576] [INFO]       - 입찰서접수시작일시: 2026/02/1310:00
[2026-02-06 19:54:37,576] [INFO]       - 입찰서접수마감일시: 2026/02/2415:00
[2026-02-06 19:54:37,576] [INFO]       - 개찰일시: 2026/02/2416:00
[2026-02-06 19:54:37,576] [INFO]       - 입찰보증서 접수마감일시: 
[2026-02-06 19:54:37,576] [INFO]       - 입찰참가자격 등록마감일시: 2026/02/2318:00
[2026-02-06 19:54:37,576] [INFO]       - 개찰장소: 가능4구역 재개발정비사업조합 사무실
[2026-02-06 19:54:37,577] [INFO]       - 개찰및낙찰-비고: 개찰이전
[2026-02-06 19:54:37,577] [INFO]       - 관련공고: 
[2026-02-06 19:54:37,577] [INFO]       - 공고정보: 
[2026-02-06 19:54:37,577] [INFO]       - 최소인하비율(%): 0.2%
[2026-02-06 19:54:37,577] [INFO]       - 투찰제한횟수: 5
[2026-02-06 19:54:37,577] [INFO]       - 자동연장시각: 20
[2026-02-06 19:54:37,577] [INFO]       - 시작가격: 원
[2026-02-06 19:54:37,577] [INFO]       - 시작가격등록일시: 2026-02-06 19:07:51
[2026-02-06 19:54:37,577] [INFO]       - 입찰서접수마감일시(연장): 2026/02/1310:00
[2026-02-06 19:54:37,577] [INFO]       - 담당부서: 가능4구역 재개발정비사업조합
[2026-02-06 19:54:37,577] [INFO]       - 담당자: 서용엄
[2026-02-06 19:54:37,577] [INFO]       - 부가가치세포함여부: 아니오
[2026-02-06 19:54:37,577] [INFO]       - 배정예산: 원
[2026-02-06 19:54:37,577] [INFO]       - 기준금액사용여부: 아니오
[2026-02-06 19:54:37,577] [INFO]       - 기준금액공개여부: 
[2026-02-06 19:54:37,577] [INFO]       - 기준금액: 원
[2026-02-06 19:54:37,577] [INFO]       - 적격심사대상여부: 예
[2026-02-06 19:54:37,577] [INFO]       - 적격심사표: 수기 등록 총점 입력
[2026-02-06 19:54:37,577] [INFO]       - 지역제한: 공고서참조
[2026-02-06 19:54:37,577] [INFO]       - 지사/지점허용여부: 지사투찰허용
[2026-02-06 19:54:37,577] [INFO]       - 업종제한: 공고서참조
[2026-02-06 19:54:37,577] [INFO]       - 참가가능지역: 
[2026-02-06 19:54:37,577] [INFO]       - 업종제한사항: 업종명을 클릭시 관련 근거법령을 조회하실수 있습니다.[]안의 업종제한은 시스템상에 입력된 제한사항으로 공고서와 상이할 수도 있습니다. 입찰에 참여하시기 전에 반드시 공고서를 숙지하여 정확한 제한 업종을 확인하시기 바랍니다.아래는 제한된 업종에 대해 투찰가능한 허용업종 상황을 보여줍니다. 확인하시기 바랍니다.Grid startthis is a grid caption.No투찰가능한업종허용업종공고서 참조데이터가 없음Grid end
[2026-02-06 19:54:37,577] [INFO]       - No: 공고서 참조
[2026-02-06 19:54:37,577] [INFO]       - 투찰가능한업종: 
[2026-02-06 19:54:37,577] [INFO]       - 허용업종: 
[2026-02-06 19:54:37,577] [INFO]       - 현장설명회대상여부: 예
[2026-02-06 19:54:37,577] [INFO]       - 현장설명회일시: 2026/02/1316:30
[2026-02-06 19:54:37,577] [INFO]       - 현장설명회장소: 가능4구역 재개발정비사업조합 사무실
[2026-02-06 19:54:37,577] [INFO]       - 첨부파일: 10.환경 및 재해영향평가 업체 선정 별지서식 및 배점표.hwp (45.0 KB), 10.환경 및 재해영향평가 업체 선정 입찰공고.pdf (45.8 KB), 10.환경 및 재해영향평가 업체 선정 입찰지침서.pdf (91.8 KB)
[2026-02-06 19:54:37,583] [INFO]    [동작] '목록' 클릭
[2026-02-06 19:54:38,099] [INFO]    [확인] 목록 복구됨
[2026-02-06 19:54:38,099] [INFO] 
--- 항목 3 처리 ---
[2026-02-06 19:54:38,106] [INFO]    [대상] 친환경 분야 협력업체 선정 입찰공고
[2026-02-06 19:54:41,384] [INFO]       [수집] 상세 정보 파싱 중...
[2026-02-06 19:54:41,616] [INFO]       [결과] 필드 46개, 파일 3개
[2026-02-06 19:54:41,616] [INFO]       - 입찰공고번호: R26BK01323456-000
[2026-02-06 19:54:41,616] [INFO]       - 문서번호: 제20260206-11호
[2026-02-06 19:54:41,616] [INFO]       - 긴급입찰여부: 아니오
[2026-02-06 19:54:41,616] [INFO]       - 공고종류: 실공고
[2026-02-06 19:54:41,616] [INFO]       - 공고처리구분: 등록공고
[2026-02-06 19:54:41,616] [INFO]       - 업무분류: 용역
[2026-02-06 19:54:41,616] [INFO]       - 입찰공고명: 친환경 분야 협력업체 선정 입찰공고
[2026-02-06 19:54:41,616] [INFO]       - 입찰방식: 전자입찰
[2026-02-06 19:54:41,616] [INFO]       - 계약방법: 일반경쟁
[2026-02-06 19:54:41,616] [INFO]       - 낙찰방법: 적격심사제
[2026-02-06 19:54:41,616] [INFO]       - 재입찰여부: 예
[2026-02-06 19:54:41,616] [INFO]       - 입찰서접수시작일시: 2026/02/1310:00
[2026-02-06 19:54:41,616] [INFO]       - 입찰서접수마감일시: 2026/02/2414:00
[2026-02-06 19:54:41,616] [INFO]       - 개찰일시: 2026/02/2415:00
[2026-02-06 19:54:41,616] [INFO]       - 입찰보증서 접수마감일시: 
[2026-02-06 19:54:41,616] [INFO]       - 입찰참가자격 등록마감일시: 2026/02/2318:00
[2026-02-06 19:54:41,616] [INFO]       - 개찰장소: 가능4구역 재개발정비사업조합 사무실
[2026-02-06 19:54:41,616] [INFO]       - 개찰및낙찰-비고: 개찰이전
[2026-02-06 19:54:41,616] [INFO]       - 관련공고: 
[2026-02-06 19:54:41,616] [INFO]       - 공고정보: 
[2026-02-06 19:54:41,616] [INFO]       - 최소인하비율(%): 0.2%
[2026-02-06 19:54:41,617] [INFO]       - 투찰제한횟수: 5
[2026-02-06 19:54:41,617] [INFO]       - 자동연장시각: 20
[2026-02-06 19:54:41,617] [INFO]       - 시작가격: 원
[2026-02-06 19:54:41,617] [INFO]       - 시작가격등록일시: 2026-02-06 18:32:15
[2026-02-06 19:54:41,617] [INFO]       - 입찰서접수마감일시(연장): 2026/02/1310:00
[2026-02-06 19:54:41,617] [INFO]       - 담당부서: 가능4구역 재개발정비사업조합
[2026-02-06 19:54:41,617] [INFO]       - 담당자: 서용엄
[2026-02-06 19:54:41,617] [INFO]       - 부가가치세포함여부: 아니오
[2026-02-06 19:54:41,617] [INFO]       - 배정예산: 원
[2026-02-06 19:54:41,617] [INFO]       - 기준금액사용여부: 아니오
[2026-02-06 19:54:41,617] [INFO]       - 기준금액공개여부: 
[2026-02-06 19:54:41,617] [INFO]       - 기준금액: 원
[2026-02-06 19:54:41,617] [INFO]       - 적격심사대상여부: 예
[2026-02-06 19:54:41,617] [INFO]       - 적격심사표: 수기 등록 총점 입력
[2026-02-06 19:54:41,617] [INFO]       - 지역제한: 공고서참조
[2026-02-06 19:54:41,617] [INFO]       - 지사/지점허용여부: 지사투찰허용
[2026-02-06 19:54:41,617] [INFO]       - 업종제한: 공고서참조
[2026-02-06 19:54:41,617] [INFO]       - 참가가능지역: 
[2026-02-06 19:54:41,617] [INFO]       - 업종제한사항: 업종명을 클릭시 관련 근거법령을 조회하실수 있습니다.[]안의 업종제한은 시스템상에 입력된 제한사항으로 공고서와 상이할 수도 있습니다. 입찰에 참여하시기 전에 반드시 공고서를 숙지하여 정확한 제한 업종을 확인하시기 바랍니다.아래는 제한된 업종에 대해 투찰가능한 허용업종 상황을 보여줍니다. 확인하시기 바랍니다.Grid startthis is a grid caption.No투찰가능한업종허용업종공고서 참조데이터가 없음Grid end
[2026-02-06 19:54:41,617] [INFO]       - No: 공고서 참조
[2026-02-06 19:54:41,617] [INFO]       - 투찰가능한업종: 
[2026-02-06 19:54:41,617] [INFO]       - 허용업종: 
[2026-02-06 19:54:41,617] [INFO]       - 현장설명회대상여부: 예
[2026-02-06 19:54:41,617] [INFO]       - 현장설명회일시: 2026/02/1316:00
[2026-02-06 19:54:41,617] [INFO]       - 현장설명회장소: 가능4구역 재개발정비사업조합 사무실
[2026-02-06 19:54:41,617] [INFO]       - 첨부파일: 9.친환경 분야 협력업체 선정 별지서식 및 배점표.hwp (40.5 KB), 9.친환경 분야 협력업체 선정 입찰공고.pdf (45.8 KB), 9.친환경 분야 협력업체 선정 입찰지침서.pdf (92.8 KB)
[2026-02-06 19:54:41,622] [INFO]    [동작] '목록' 클릭
[2026-02-06 19:54:42,127] [INFO]    [확인] 목록 복구됨
[2026-02-06 19:54:42,127] [INFO] >>> 브라우저 종료
